label,module,status
Cost Per Impression,opt_input_cps,1
Constraint Setup,opt_input_cstr,1
Constraint Setup,opt_input_cstr_output,0
Time Window,opt_input_curvegroup,0
Time Window,opt_input_date_range,1
Tactic,opt_input_dim_chan,1
Markets,opt_input_dim_dma,1
Customer Segment,opt_input_dim_sales,1
Segment (Hispanic/GM),opt_input_dim_salchan,1
Event Setup,opt_input_event,1
Optimization Metric,opt_input_optimization_target,1
Optimization Type,opt_input_optimization_type,1
Time Window,opt_input_optimization_win,0
